timestamp,user,ip,country,status,attempt_count,event_type
2026-05-26 00:00:00,root,45.33.32.156,KP,FAILED,13,brute_force
2026-05-26 00:00:23,hr.user,192.0.2.77,KP,FAILED,5,brute_force
2026-05-26 00:00:25,deekshitha,185.220.101.45,CN,FAILED,12,brute_force
2026-05-26 00:00:30,admin,103.21.244.0,KP,FAILED,1,credential_stuffing
2026-05-26 00:01:10,hr.user,45.33.32.156,KP,FAILED,9,brute_force
2026-05-26 00:02:18,jane.smith,45.33.32.156,CN,FAILED,3,brute_force
2026-05-26 00:02:28,jane.smith,50.179.237.78,CN,SUCCESS,1,after_hours_login
2026-05-26 00:02:44,guest,185.220.101.45,NG,FAILED,1,credential_stuffing
2026-05-26 00:02:45,jane.smith,192.0.2.77,RU,FAILED,7,brute_force
2026-05-26 00:02:54,guest,185.220.101.45,RU,FAILED,1,credential_stuffing
2026-05-26 00:03:46,hr.user,185.220.101.45,KP,FAILED,11,brute_force
2026-05-26 00:03:49,dev.ops,198.51.100.23,NG,FAILED,2,brute_force
2026-05-26 00:03:49,jane.smith,198.51.100.23,CN,FAILED,10,brute_force
2026-05-26 00:03:52,root,112.217.204.122,RU,SUCCESS,1,after_hours_login
2026-05-26 00:04:01,dev.ops,198.51.100.23,KP,FAILED,1,credential_stuffing
2026-05-26 00:04:32,john.doe,192.0.2.77,NG,FAILED,4,brute_force
2026-05-26 00:04:34,john.doe,103.21.244.0,CN,FAILED,1,credential_stuffing
2026-05-26 00:05:02,jane.smith,103.21.244.0,KP,FAILED,3,brute_force
2026-05-26 00:05:05,deekshitha,185.220.101.45,NG,FAILED,1,credential_stuffing
2026-05-26 00:05:20,admin,192.0.2.77,CN,FAILED,10,brute_force
2026-05-26 00:05:50,admin,45.195.135.163,US,SUCCESS,1,after_hours_login
2026-05-26 00:06:04,root,103.21.244.0,CN,FAILED,11,brute_force
2026-05-26 00:06:09,jane.smith,185.220.101.45,NG,FAILED,1,brute_force
2026-05-26 00:06:13,guest,192.0.2.77,KP,FAILED,1,brute_force
2026-05-26 00:06:14,dev.ops,185.220.101.45,RU,FAILED,1,credential_stuffing
2026-05-26 00:06:21,john.doe,192.0.2.77,NG,FAILED,13,brute_force
2026-05-26 00:06:24,john.doe,103.21.244.0,NG,FAILED,9,brute_force
2026-05-26 00:06:27,jane.smith,192.0.2.77,CN,FAILED,9,brute_force
2026-05-26 00:06:33,admin,45.33.32.156,KP,FAILED,2,brute_force
2026-05-26 00:06:37,hr.user,45.33.32.156,NG,FAILED,4,brute_force
2026-05-26 00:06:38,admin,45.33.32.156,NG,FAILED,1,brute_force
2026-05-26 00:06:45,john.doe,192.0.2.77,NG,FAILED,6,brute_force
2026-05-26 00:06:55,john.doe,192.0.2.77,RU,FAILED,9,brute_force
2026-05-26 00:07:20,dev.ops,198.51.100.23,CN,FAILED,5,brute_force
2026-05-26 00:07:35,deekshitha,45.33.32.156,RU,FAILED,1,credential_stuffing
2026-05-26 00:08:17,dev.ops,185.220.101.45,RU,FAILED,1,credential_stuffing
2026-05-26 00:08:22,dev.ops,103.21.244.0,CN,FAILED,1,credential_stuffing
2026-05-26 00:08:41,root,198.51.100.23,RU,FAILED,4,brute_force
2026-05-26 00:08:53,root,103.21.244.0,NG,FAILED,5,brute_force
2026-05-26 00:08:56,deekshitha,185.220.101.45,RU,FAILED,1,credential_stuffing
2026-05-26 00:09:29,jane.smith,198.51.100.23,RU,FAILED,3,brute_force
2026-05-26 00:09:53,hr.user,185.220.101.45,NG,FAILED,5,brute_force
2026-05-26 00:10:39,jane.smith,185.220.101.45,RU,FAILED,10,brute_force
2026-05-26 00:10:47,jane.smith,103.21.244.0,KP,FAILED,11,brute_force
2026-05-26 00:11:13,dev.ops,198.51.100.23,CN,FAILED,1,credential_stuffing
2026-05-26 00:11:16,john.doe,198.51.100.23,CN,FAILED,7,brute_force
2026-05-26 00:11:33,guest,103.21.244.0,NG,FAILED,1,credential_stuffing
2026-05-26 00:11:43,guest,103.21.244.0,RU,FAILED,4,brute_force
2026-05-26 00:11:44,jane.smith,185.220.101.45,NG,FAILED,10,brute_force
2026-05-26 00:11:58,admin,45.33.32.156,RU,FAILED,11,brute_force
2026-05-26 00:12:06,john.doe,45.33.32.156,KP,FAILED,1,credential_stuffing
2026-05-26 00:12:31,jane.smith,198.51.100.23,CN,FAILED,1,credential_stuffing
2026-05-26 00:12:43,deekshitha,185.220.101.45,NG,FAILED,1,credential_stuffing
2026-05-26 00:12:47,john.doe,103.21.244.0,NG,FAILED,1,credential_stuffing
2026-05-26 00:12:52,hr.user,192.0.2.77,NG,FAILED,7,brute_force
2026-05-26 00:12:55,guest,185.220.101.45,RU,FAILED,1,credential_stuffing
2026-05-26 00:13:20,hr.user,136.74.30.88,DE,SUCCESS,1,after_hours_login
2026-05-26 00:13:49,jane.smith,45.33.32.156,NG,FAILED,2,brute_force
2026-05-26 00:14:19,hr.user,185.220.101.45,NG,FAILED,9,brute_force
2026-05-26 00:14:37,jane.smith,185.220.101.45,KP,FAILED,4,brute_force
2026-05-26 00:14:55,dev.ops,45.33.32.156,CN,FAILED,11,brute_force
2026-05-26 00:14:57,admin,45.33.32.156,NG,FAILED,9,brute_force
2026-05-26 00:15:20,admin,45.33.32.156,KP,FAILED,3,brute_force
2026-05-26 00:15:21,dev.ops,45.33.32.156,CN,FAILED,2,brute_force
2026-05-26 00:15:26,hr.user,45.33.32.156,KP,FAILED,1,credential_stuffing
2026-05-26 00:15:32,root,192.0.2.77,NG,FAILED,1,credential_stuffing
2026-05-26 00:15:46,jane.smith,185.220.101.45,RU,FAILED,7,brute_force
2026-05-26 00:15:57,hr.user,45.33.32.156,NG,FAILED,1,credential_stuffing
2026-05-26 00:16:02,jane.smith,45.33.32.156,KP,FAILED,3,brute_force
2026-05-26 00:16:23,hr.user,103.21.244.0,KP,FAILED,7,brute_force
2026-05-26 00:16:30,hr.user,198.51.100.23,NG,FAILED,1,credential_stuffing
2026-05-26 00:16:41,root,103.21.244.0,RU,FAILED,4,brute_force
2026-05-26 00:16:49,root,103.21.244.0,RU,FAILED,6,brute_force
2026-05-26 00:16:59,deekshitha,198.51.100.23,NG,FAILED,1,credential_stuffing
2026-05-26 00:17:11,admin,185.220.101.45,NG,FAILED,3,brute_force
2026-05-26 00:17:31,root,45.33.32.156,RU,FAILED,3,brute_force
2026-05-26 00:17:41,deekshitha,185.220.101.45,RU,FAILED,10,brute_force
2026-05-26 00:17:49,hr.user,192.0.2.77,NG,FAILED,9,brute_force
2026-05-26 00:18:17,root,103.21.244.0,RU,FAILED,3,brute_force
2026-05-26 00:18:24,john.doe,185.220.101.45,CN,FAILED,1,credential_stuffing
2026-05-26 00:18:36,john.doe,198.51.100.23,CN,FAILED,6,brute_force
2026-05-26 00:18:40,john.doe,198.51.100.23,CN,FAILED,7,brute_force
2026-05-26 00:18:42,deekshitha,45.33.32.156,KP,FAILED,1,credential_stuffing
2026-05-26 00:18:46,john.doe,45.33.32.156,NG,FAILED,1,credential_stuffing
2026-05-26 00:19:20,john.doe,192.0.2.77,RU,FAILED,3,brute_force
2026-05-26 00:19:22,jane.smith,192.0.2.77,KP,FAILED,4,brute_force
2026-05-26 00:19:32,jane.smith,185.220.101.45,RU,FAILED,6,brute_force
2026-05-26 00:19:34,jane.smith,192.0.2.77,RU,FAILED,1,credential_stuffing
2026-05-26 00:20:02,jane.smith,45.33.32.156,CN,FAILED,6,brute_force
2026-05-26 00:20:05,jane.smith,185.220.101.45,KP,FAILED,5,brute_force
2026-05-26 00:20:10,admin,192.0.2.77,CN,FAILED,7,brute_force
2026-05-26 00:20:14,admin,103.21.244.0,RU,FAILED,1,credential_stuffing
2026-05-26 00:20:14,root,103.21.244.0,RU,FAILED,5,brute_force
2026-05-26 00:20:32,admin,192.0.2.77,RU,FAILED,8,brute_force
