timestamp,user,ip,country,status,attempt_count,event_type,hour,user_encoded,country_encoded,status_encoded,anomaly_score,is_anomaly,risk_score,ml_label
2026-05-29 00:00:13,guest,198.51.100.23,CN,FAILED,8,brute_force,0,3,1,0,0.043544627428413585,1,44.09,NORMAL
2026-05-29 00:00:20,john.doe,103.21.244.0,CN,FAILED,7,brute_force,0,6,1,0,0.02126305837719611,1,54.43,NORMAL
2026-05-29 00:01:30,jane.smith,192.0.2.77,NG,FAILED,13,brute_force,0,5,5,0,0.005392768740594578,1,61.79,NORMAL
2026-05-29 00:01:39,deekshitha,192.0.2.77,NG,FAILED,1,credential_stuffing,0,1,5,0,0.08400314321697017,1,25.31,NORMAL
2026-05-29 00:01:56,hr.user,198.51.100.23,NG,FAILED,1,credential_stuffing,0,4,5,0,0.09053295694616792,1,22.28,NORMAL
2026-05-29 00:02:00,root,45.33.32.156,NG,FAILED,1,brute_force,0,7,5,0,0.04198368303586719,1,44.81,NORMAL
2026-05-29 00:02:24,guest,192.0.2.77,CN,FAILED,8,brute_force,0,3,1,0,0.043544627428413585,1,44.09,NORMAL
2026-05-29 00:02:33,dev.ops,45.33.32.156,KP,FAILED,3,brute_force,0,2,4,0,0.06863983198173151,1,32.44,NORMAL
2026-05-29 00:03:19,admin,103.21.244.0,KP,FAILED,9,brute_force,0,0,4,0,0.01361554989904612,1,57.98,NORMAL
2026-05-29 00:03:21,hr.user,185.220.101.45,NG,FAILED,13,brute_force,0,4,5,0,0.0051253233483052885,1,61.92,NORMAL
2026-05-29 00:03:23,deekshitha,185.220.101.45,NG,FAILED,7,brute_force,0,1,5,0,0.05146926780192285,1,40.41,NORMAL
2026-05-29 00:03:40,john.doe,185.220.101.45,KP,FAILED,1,brute_force,0,6,4,0,0.053334076807007635,1,39.54,NORMAL
2026-05-29 00:04:11,dev.ops,45.33.32.156,RU,FAILED,1,credential_stuffing,0,2,6,0,0.07726902892766868,1,28.44,NORMAL
2026-05-29 00:04:15,admin,192.0.2.77,RU,FAILED,5,brute_force,0,0,6,0,0.022472213724581747,1,53.87,NORMAL
2026-05-29 00:04:20,guest,155.167.35.56,NG,SUCCESS,1,after_hours_login,0,3,5,1,-0.01976925566312715,-1,73.47,ANOMALY
2026-05-29 00:04:30,deekshitha,103.21.244.0,NG,FAILED,10,brute_force,0,1,5,0,0.031934470301826834,1,49.47,NORMAL
2026-05-29 00:04:31,dev.ops,45.33.32.156,NG,FAILED,7,brute_force,0,2,5,0,0.05743237091169995,1,37.64,NORMAL
2026-05-29 00:04:40,john.doe,192.0.2.77,CN,FAILED,4,brute_force,0,6,1,0,0.026754694103416465,1,51.88,NORMAL
2026-05-29 00:04:58,admin,103.21.244.0,CN,FAILED,1,credential_stuffing,0,0,1,0,0.02027734053780461,1,54.88,NORMAL
2026-05-29 00:05:09,guest,103.21.244.0,NG,FAILED,1,credential_stuffing,0,3,5,0,0.09685593357636635,1,19.35,NORMAL
2026-05-29 00:05:37,deekshitha,185.220.101.45,RU,FAILED,14,brute_force,0,1,6,0,-0.037113354736947546,-1,81.52,ANOMALY
2026-05-29 00:05:45,guest,103.21.244.0,NG,FAILED,9,brute_force,0,3,5,0,0.053289886210134085,1,39.56,NORMAL
2026-05-29 00:06:10,dev.ops,45.33.32.156,KP,FAILED,14,brute_force,0,2,4,0,-0.020851665710602374,-1,73.97,ANOMALY
2026-05-29 00:06:15,dev.ops,45.33.32.156,RU,FAILED,11,brute_force,0,2,6,0,0.01997013629510558,1,55.03,NORMAL
2026-05-29 00:06:20,guest,185.220.101.45,KP,FAILED,6,brute_force,0,3,4,0,0.0682292655018194,1,32.63,NORMAL
2026-05-29 00:06:38,deekshitha,192.0.2.77,RU,FAILED,4,brute_force,0,1,6,0,0.04829256125288939,1,41.88,NORMAL
2026-05-29 00:06:42,hr.user,185.220.101.45,RU,FAILED,1,credential_stuffing,0,4,6,0,0.08696675092300432,1,23.94,NORMAL
2026-05-29 00:06:45,dev.ops,45.33.32.156,RU,FAILED,2,brute_force,0,2,6,0,0.061038704886940076,1,35.97,NORMAL
2026-05-29 00:06:55,jane.smith,185.220.101.45,NG,FAILED,1,credential_stuffing,0,5,5,0,0.08341046852207412,1,25.59,NORMAL
2026-05-29 00:06:59,hr.user,192.0.2.77,RU,FAILED,1,credential_stuffing,0,4,6,0,0.08696675092300432,1,23.94,NORMAL
2026-05-29 00:07:15,dev.ops,103.21.244.0,CN,FAILED,9,brute_force,0,2,1,0,0.024334798098089583,1,53.0,NORMAL
2026-05-29 00:07:32,root,185.220.101.45,NG,FAILED,10,brute_force,0,7,5,0,0.006299437053232881,1,61.37,NORMAL
2026-05-29 00:07:35,guest,45.33.32.156,RU,FAILED,10,brute_force,0,3,6,0,0.039891139692474153,1,45.78,NORMAL
2026-05-29 00:08:06,jane.smith,45.33.32.156,NG,FAILED,1,brute_force,0,5,5,0,0.08341046852207412,1,25.59,NORMAL
2026-05-29 00:08:22,root,192.0.2.77,CN,FAILED,1,credential_stuffing,0,7,1,0,0.01858086261960845,1,55.67,NORMAL
2026-05-29 00:08:33,john.doe,198.51.100.23,KP,FAILED,7,brute_force,0,6,4,0,0.03428494328236231,1,48.38,NORMAL
2026-05-29 00:08:52,dev.ops,103.21.244.0,KP,FAILED,9,brute_force,0,2,4,0,0.04361791484368249,1,44.05,NORMAL
2026-05-29 00:09:26,hr.user,192.0.2.77,NG,FAILED,3,brute_force,0,4,5,0,0.07942702504075083,1,27.44,NORMAL
2026-05-29 00:10:18,hr.user,192.0.2.77,CN,FAILED,2,brute_force,0,4,1,0,0.04188648693818109,1,44.86,NORMAL
2026-05-29 00:10:29,hr.user,192.0.2.77,NG,FAILED,2,brute_force,0,4,5,0,0.08160650002982445,1,26.42,NORMAL
2026-05-29 00:10:36,admin,192.0.2.77,RU,FAILED,1,credential_stuffing,0,0,6,0,0.050840626608290695,1,40.7,NORMAL
2026-05-29 00:11:01,dev.ops,185.220.101.45,NG,FAILED,13,brute_force,0,2,5,0,0.0016433543761502634,1,63.53,NORMAL
2026-05-29 00:11:10,jane.smith,45.33.32.156,CN,FAILED,1,credential_stuffing,0,5,1,0,0.05128975798185742,1,40.49,NORMAL
2026-05-29 00:11:13,admin,45.33.32.156,KP,FAILED,10,brute_force,0,0,4,0,0.00639280394339814,1,61.33,NORMAL
